Consult,AI,ASR,ROUGE-1-F,ROUGE-1-P,ROUGE-1-R,ROUGE-2-F,ROUGE-2-P,ROUGE-2-R,ROUGE-L-F,ROUGE-L-P,ROUGE-L-R,BERT-Score-P,BERT-Score-R,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
1,GPT 3.5 Turbo,Whisper,0.26615969581749055,0.17412935323383086,0.5645161290322581,0.05363984674329503,0.035,0.11475409836065574,0.1977186311787072,0.12935323383084577,0.41935483870967744,-0.10654035955667496,0.23628433048725128,0.06053196266293526,217,57
1,GPT 3.5 Turbo,Speechmatics,0.3317073170731708,0.23776223776223776,0.5483870967741935,0.06896551724137931,0.04929577464788732,0.11475409836065574,0.2439024390243902,0.17482517482517482,0.4032258064516129,-0.03416967764496803,0.2490205317735672,0.1049124151468277,153,57
1,GPT 3.5 Turbo,Google,0.36286919831223624,0.24571428571428572,0.6935483870967742,0.15319148936170213,0.10344827586206896,0.29508196721311475,0.3037974683544304,0.2057142857142857,0.5806451612903226,-0.052772630006074905,0.3118324279785156,0.12440095096826553,183,57
1,GPT 3.5 Turbo,Kaldi_NL,0.26562499999999994,0.17525773195876287,0.5483870967741935,0.07086614173228346,0.046632124352331605,0.14754098360655737,0.2265625,0.14948453608247422,0.46774193548387094,-0.11482551693916321,0.21754790842533112,0.047380562871694565,206,57
1,Gemini 1.5 pro,Whisper,0.3333333333333333,0.23943661971830985,0.5483870967741935,0.0891089108910891,0.06382978723404255,0.14754098360655737,0.22549019607843138,0.1619718309859155,0.3709677419354839,-0.10259994864463806,0.2038559466600418,0.04747626930475235,148,57
1,Gemini 1.5 pro,Speechmatics,0.3804878048780488,0.2727272727272727,0.6290322580645161,0.1083743842364532,0.07746478873239436,0.18032786885245902,0.23414634146341465,0.16783216783216784,0.3870967741935484,-0.097927987575531,0.24402807652950287,0.06873591244220734,149,57
1,Gemini 1.5 pro,Google,0.33018867924528306,0.23333333333333334,0.5645161290322581,0.08571428571428572,0.06040268456375839,0.14754098360655737,0.2452830188679245,0.17333333333333334,0.41935483870967744,-0.14095306396484375,0.15978577733039856,0.006467455066740513,157,57
1,Gemini 1.5 pro,Kaldi_NL,0.3115577889447236,0.22627737226277372,0.5,0.05076142131979696,0.03676470588235294,0.08196721311475409,0.19095477386934676,0.1386861313868613,0.3064516129032258,-0.0984564870595932,0.1997736096382141,0.04775526747107506,143,57
2,GPT 3.5 Turbo,Whisper,0.2891566265060241,0.18604651162790697,0.6486486486486487,0.08536585365853659,0.0546875,0.19444444444444445,0.18072289156626506,0.11627906976744186,0.40540540540540543,-0.05748350918292999,0.2737433910369873,0.10415700078010559,136,35
2,GPT 3.5 Turbo,Speechmatics,0.224390243902439,0.13690476190476192,0.6216216216216216,0.029556650246305417,0.017964071856287425,0.08333333333333333,0.13658536585365852,0.08333333333333333,0.3783783783783784,-0.16250239312648773,0.19911497831344604,0.013320209458470345,168,35
