AI,ASR,Section,ROUGE-1-F,ROUGE-2-F,ROUGE-L-F,BERT-Score-F1-Raw,BERT-Score-F1
GPT 3.5 Turbo,Google,E,0.15722731287826758,0.02788328630433894,0.13838108359872456,0.8369553506374359,0.03394829444587231
GPT 3.5 Turbo,Google,O,0.2356318467517562,0.0333632460076229,0.20135870833188382,0.852825927734375,0.127982646971941
GPT 3.5 Turbo,Google,P,0.2103210792509726,0.05233073100362934,0.15916923740740896,0.8360323369503021,0.02847936823964119
GPT 3.5 Turbo,Google,S,0.32450972617150275,0.09447755350195113,0.2507127082689209,0.8537562251091003,0.13349472656846045
GPT 3.5 Turbo,Kaldi_NL,E,0.14465923172068798,0.017030692874164595,0.12233297480650114,0.8334570586681366,0.013220653869211674
GPT 3.5 Turbo,Kaldi_NL,O,0.21260189799491158,0.013351393188854487,0.1708882615969562,0.8470445215702057,0.09372738488018513
GPT 3.5 Turbo,Kaldi_NL,P,0.216906479017796,0.046403767957400324,0.15821106173763502,0.834151542186737,0.017335519753396512
GPT 3.5 Turbo,Kaldi_NL,S,0.2956924943669363,0.07944900775027718,0.22855791879932202,0.8509848952293396,0.11707439199090004
GPT 3.5 Turbo,Speechmatics,E,0.17801624368860874,0.019017763845350054,0.14133145646673712,0.8372166514396667,0.035496520018205045
GPT 3.5 Turbo,Speechmatics,O,0.19909151353603832,0.0319298245614035,0.1810915135360383,0.8437151432037353,0.07400056924670935
GPT 3.5 Turbo,Speechmatics,P,0.2020707474064909,0.04034237548099172,0.15351481066106615,0.8362858295440674,0.02998132975772023
GPT 3.5 Turbo,Speechmatics,S,0.2977508240545453,0.08216086780839944,0.22732253162958652,0.8510097444057465,0.1172216236962413
GPT 3.5 Turbo,Whisper,E,0.14315292058548912,0.008834586466165414,0.1285640611690435,0.8385872781276703,0.0436175852548331
GPT 3.5 Turbo,Whisper,O,0.2302445593622064,0.0413516832475886,0.20493276797898646,0.8469310879707337,0.09305528178811073
GPT 3.5 Turbo,Whisper,P,0.21244438313761238,0.04692281847975386,0.14847672772427112,0.838335759109921,0.04212731681764126
GPT 3.5 Turbo,Whisper,S,0.3160205983298686,0.09273865953629287,0.23914547499808297,0.8519275486469269,0.12265968471765518
Gemini 1.5 pro,Google,E,0.18842757625516246,0.03281324839570484,0.1745386873662736,0.8407592892646789,0.05648691430687904
Gemini 1.5 pro,Google,O,0.20648394923410546,0.046545990093413765,0.16992662808563655,0.8461895227432251,0.0886614533723332
Gemini 1.5 pro,Google,P,0.24293501811435814,0.05814461898661623,0.20051764591219395,0.8356916248798371,0.026460625138133763
Gemini 1.5 pro,Google,S,0.26031575218886926,0.061718935268487096,0.17977132080353928,0.8409223020076751,0.057452776259742676
Gemini 1.5 pro,Kaldi_NL,E,0.17908940360479297,0.039225589225589226,0.1557873291518234,0.8416765749454498,0.06192190060392022
Gemini 1.5 pro,Kaldi_NL,O,0.16506083355928558,0.003278688524590164,0.141466649965102,0.8360115223460727,0.028356043207976554
Gemini 1.5 pro,Kaldi_NL,P,0.21588194849388698,0.07062540155212568,0.16921395722000837,0.8364767372608185,0.03111247541382909
Gemini 1.5 pro,Kaldi_NL,S,0.257585619479259,0.06461955199537801,0.17832388269782948,0.8431133329868317,0.07043479867861606
Gemini 1.5 pro,Speechmatics,E,0.18259864500130665,0.019099947671376245,0.15559626829304757,0.8408060073852539,0.056763723073527214
Gemini 1.5 pro,Speechmatics,O,0.18742423690364277,0.021219135802469136,0.16359046704158584,0.8428298566076491,0.0687551818555221
Gemini 1.5 pro,Speechmatics,P,0.1966763684936199,0.04514361090294154,0.15429508139583797,0.8335366580221388,0.013692285244663557
Gemini 1.5 pro,Speechmatics,S,0.2482997999304783,0.06276970730882672,0.17290235012374505,0.8398066341876984,0.05084236180409789
Gemini 1.5 pro,Whisper,E,0.14450532203967817,0.008183183183183184,0.1327608502952064,0.8391978204250335,0.04723509643226862
Gemini 1.5 pro,Whisper,O,0.16825734630486594,0.0246469113961374,0.13314385848549576,0.8399780591328939,0.05185806817219903
Gemini 1.5 pro,Whisper,P,0.20049758146664082,0.052120437880879375,0.15536883146454605,0.8381777207056681,0.041190928106920585
Gemini 1.5 pro,Whisper,S,0.2657509987865515,0.06598779667549105,0.17754808317672843,0.8412839710712433,0.059595692157745364
